,   447
0,    320.0   0.21139   0.03953
1,    325.0   0.22754   0.03130
2,    330.0   0.24399   0.02448
3,    335.0   0.25971   0.02086
4,    340.0   0.28029   0.01734
5,    345.0   0.30120   0.01477
6,    350.0   0.32048   0.01238
7,    355.0   0.34290   0.01062
8,    360.0   0.36275   0.01073
9,    365.0   0.38364   0.00879
10,    370.0   0.40057   0.00913
11,    375.0   0.41414   0.00850
12,    380.0   0.42675   0.00729
13,    385.0   0.43695   0.00812
14,    390.0   0.44361   0.00964
15,    395.0   0.44998   0.00960
16,    400.0   0.45430   0.00658
17,    405.0   0.45876   0.00689
18,    410.0   0.46140   0.00687
19,    415.0   0.46166   0.00833
20,    420.0   0.46088   0.00811
21,    425.0   0.45678   0.00852
22,    430.0   0.46287   0.00783
23,    435.0   0.47024   0.00644
24,    440.0   0.47401   0.00725
25,    445.0   0.47853   0.00664
26,    450.0   0.48327   0.00571
27,    455.0   0.48651   0.00595
28,    460.0   0.49089   0.00615
29,    465.0   0.49390   0.00698
30,    470.0   0.49758   0.00718
31,    475.0   0.50184   0.00717
32,    480.0   0.50696   0.00755
33,    485.0   0.51356   0.00769
34,    490.0   0.52005   0.00725
35,    495.0   0.52670   0.00790
36,    500.0   0.52968   0.00776
37,    505.0   0.51155   0.00753
38,    510.0   0.54909   0.00776
39,    515.0   0.56451   0.00824
40,    520.0   0.57599   0.00810
41,    525.0   0.58272   0.00812
42,    530.0   0.58869   0.00815
43,    535.0   0.59082   0.00860
44,    540.0   0.59019   0.00818
45,    545.0   0.58751   0.00790
46,    550.0   0.59005   0.00847
47,    555.0   0.59476   0.00804
48,    560.0   0.59779   0.00814
49,    565.0   0.59757   0.00828
50,    570.0   0.59774   0.00933
51,    575.0   0.59675   0.00992
52,    580.0   0.59666   0.00883
53,    585.0   0.59601   0.00852
54,    590.0   0.59611   0.00855
55,    595.0   0.59549   0.00877
56,    600.0   0.59740   0.00828
57,    605.0   0.59729   0.00796
58,    610.0   0.59775   0.00840
59,    615.0   0.59802   0.00715
60,    620.0   0.60133   0.00714
61,    625.0   0.60222   0.00769
62,    630.0   0.60367   0.00925
63,    635.0   0.60520   0.00784
64,    640.0   0.60506   0.00979
65,    645.0   0.60634   0.00919
66,    650.0   0.60700   0.00926
67,    655.0   0.60693   0.00946
68,    660.0   0.60703   0.00972
69,    665.0   0.60819   0.01046
70,    670.0   0.60943   0.00952
71,    675.0   0.61020   0.00933
72,    680.0   0.61370   0.00940
73,    685.0   0.61458   0.00927
74,    690.0   0.61451   0.00825
75,    695.0   0.61397   0.00945
76,    700.0   0.61472   0.00871
77,    705.0   0.61642   0.00945
78,    710.0   0.61802   0.00833
79,    715.0   0.61830   0.00891
80,    720.0   0.61721   0.00885
81,    725.0   0.61832   0.00955
82,    730.0   0.61521   0.00932
83,    735.0   0.61084   0.00960
84,    740.0   0.60420   0.00979
85,    745.0   0.59668   0.01039
86,    750.0   0.58683   0.01147
87,    755.0   0.57593   0.01109
88,    760.0   0.56313   0.01118
89,    765.0   0.54928   0.01071
90,    770.0   0.53368   0.00925
91,    775.0   0.51725   0.00878
92,    780.0   0.49906   0.00930
93,    785.0   0.48114   0.00928
94,    790.0   0.46298   0.00790
95,    795.0   0.44366   0.00802
96,    800.0   0.42661   0.00635
97,    805.0   0.40568   0.00646
98,    810.0   0.38675   0.00581
99,    815.0   0.36812   0.00555
100,    820.0   0.35101   0.00546
101,    825.0   0.33430   0.00536
102,    830.0   0.31829   0.00520
103,    835.0   0.30262   0.00571
104,    840.0   0.28914   0.00596
105,    845.0   0.27640   0.00524
106,    850.0   0.26410   0.00579
107,    855.0   0.25415   0.00469
108,    860.0   0.24384   0.00399
109,    865.0   0.23465   0.00427
110,    870.0   0.22665   0.00370
111,    875.0   0.21951   0.00374
112,    880.0   0.21304   0.00372
113,    885.0   0.20742   0.00347
114,    890.0   0.20218   0.00334
115,    895.0   0.19842   0.00342
116,    900.0   0.19526   0.00328
117,    905.0   0.19326   0.00331
118,    910.0   0.19148   0.00397
119,    915.0   0.19053   0.00363
120,    920.0   0.19030   0.00337
121,    925.0   0.19114   0.00318
122,    930.0   0.19286   0.00326
123,    935.0   0.19453   0.00291
124,    940.0   0.19772   0.00395
125,    945.0   0.20141   0.00345
126,    950.0   0.20563   0.00401
127,    955.0   0.21136   0.00427
128,    960.0   0.21856   0.00429
129,    965.0   0.22587   0.00371
130,    970.0   0.23459   0.00425
131,    975.0   0.24405   0.00443
132,    980.0   0.25516   0.00457
133,    985.0   0.26730   0.00447
134,    990.0   0.27911   0.00427
135,    995.0   0.29228   0.00421
136,   1000.0   0.30806   0.00411
137,   1005.0   0.32208   0.00418
138,   1010.0   0.33911   0.00423
139,   1015.0   0.35533   0.00404
140,   1020.0   0.37227   0.00440
141,   1025.0   0.38965   0.00470
142,   1030.0   0.40614   0.00530
143,   1035.0   0.42473   0.00482
144,   1040.0   0.44171   0.00550
145,   1045.0   0.45814   0.00540
146,   1050.0   0.47509   0.00552
147,   1055.0   0.49065   0.00640
148,   1060.0   0.50581   0.00749
149,   1065.0   0.52081   0.00720
150,   1070.0   0.53465   0.00755
151,   1075.0   0.54777   0.00704
152,   1080.0   0.56050   0.00611
153,   1085.0   0.57119   0.00771
154,   1090.0   0.58213   0.00593
155,   1095.0   0.59127   0.00679
156,   1100.0   0.60028   0.00660
157,   1105.0   0.60831   0.00650
158,   1110.0   0.61531   0.00741
159,   1115.0   0.62183   0.00649
160,   1120.0   0.62709   0.00782
161,   1125.0   0.63209   0.00740
162,   1130.0   0.63589   0.00789
163,   1135.0   0.64060   0.00809
164,   1140.0   0.64438   0.00716
165,   1145.0   0.64704   0.00820
166,   1150.0   0.64969   0.00704
167,   1155.0   0.65245   0.00693
168,   1160.0   0.65556   0.00735
169,   1165.0   0.65824   0.00654
170,   1170.0   0.65940   0.00804
171,   1175.0   0.66145   0.00731
172,   1180.0   0.66342   0.00882
173,   1185.0   0.66496   0.00796
174,   1190.0   0.66619   0.00817
175,   1195.0   0.66706   0.00865
176,   1200.0   0.66953   0.00711
177,   1205.0   0.67242   0.00788
178,   1210.0   0.67474   0.00834
179,   1215.0   0.67442   0.00723
180,   1220.0   0.67541   0.00863
181,   1225.0   0.67588   0.00823
